"","Code.région","Nom.de.la.région","Code.département","Code.arrondissement","Code.canton","Code.commune","Nom.de.la.commune","Population.municipale","Population.comptée.à.part","Population.totale"
"316",42,"Alsace",67,2,15,67340,"Oberbronn",1507,20,1527
"317",42,"Alsace",67,7,35,67341,"Oberdorf-Spachbach",363,7,370
"318",42,"Alsace",67,3,14,67342,"Oberhaslach",1773,32,1805
"319",42,"Alsace",67,6,43,67343,"Oberhausbergen",4818,62,4880
"320",42,"Alsace",67,7,34,67344,"Oberhoffen-lès-Wissembourg",323,14,337
"321",42,"Alsace",67,2,3,67345,"Oberhoffen-sur-Moder",3390,42,3432
"322",42,"Alsace",67,7,25,67346,"Oberlauterbach",536,19,555
"323",42,"Alsace",67,4,4,67347,"Obermodern-Zutzendorf",1703,30,1733
"324",42,"Alsace",67,5,16,67348,"Obernai",10822,607,11429
"325",42,"Alsace",67,7,26,67349,"Oberroedern",543,11,554
"326",42,"Alsace",67,6,43,67350,"Oberschaeffolsheim",2200,35,2235
"327",42,"Alsace",67,4,4,67352,"Obersoultzbach",416,8,424
"328",42,"Alsace",67,7,34,67353,"Obersteinbach",237,6,243
"329",42,"Alsace",67,3,33,67354,"Odratzheim",439,7,446
"330",42,"Alsace",67,4,20,67355,"Oermingen",1227,17,1244
"331",42,"Alsace",67,2,3,67356,"Offendorf",2222,21,2243
"332",42,"Alsace",67,2,15,67358,"Offwiller",818,12,830
"333",42,"Alsace",67,2,9,67359,"Ohlungen",1319,22,1341
"334",42,"Alsace",67,5,12,67360,"Ohnenheim",933,21,954
"335",42,"Alsace",67,6,5,67361,"Olwisheim",501,6,507
"336",42,"Alsace",67,5,24,67362,"Orschwiller",634,11,645
"337",42,"Alsace",67,6,31,67363,"Osthoffen",825,15,840
"338",42,"Alsace",67,5,7,67364,"Osthouse",926,14,940
"339",42,"Alsace",67,6,42,67365,"Ostwald",11682,112,11794
"340",42,"Alsace",67,4,21,67366,"Ottersthal",692,19,711
"341",42,"Alsace",67,4,13,67367,"Otterswiller",1363,33,1396
"342",42,"Alsace",67,3,18,67368,"Ottrott",1589,51,1640
"343",42,"Alsace",67,4,6,67369,"Ottwiller",250,3,253
"344",42,"Alsace",67,4,17,67370,"Petersbach",666,11,677
"345",42,"Alsace",67,4,17,67371,"La Petite-Pierre",629,13,642
"346",42,"Alsace",67,4,4,67372,"Pfaffenhoffen",2829,44,2873
"347",42,"Alsace",67,4,17,67373,"Pfalzweyer",321,6,327
"348",42,"Alsace",67,6,31,67374,"Pfettisheim",793,13,806
"349",42,"Alsace",67,6,31,67375,"Pfulgriesheim",1222,26,1248
"350",42,"Alsace",67,3,19,67377,"Plaine",978,21,999
"351",42,"Alsace",67,6,8,67378,"Plobsheim",4110,54,4164
"352",42,"Alsace",67,7,35,67379,"Preuschdorf",954,8,962
"353",42,"Alsace",67,4,21,67380,"Printzheim",209,8,217
"354",42,"Alsace",67,4,17,67381,"Puberg",341,5,346
"355",42,"Alsace",67,6,31,67382,"Quatzenheim",820,11,831
"356",42,"Alsace",67,4,13,67383,"Rangen",197,2,199
"357",42,"Alsace",67,3,19,67384,"Ranrupt",348,7,355
"358",42,"Alsace",67,4,20,67385,"Ratzwiller",253,3,256
"359",42,"Alsace",67,4,6,67386,"Rauwiller",216,0,216
"360",42,"Alsace",67,5,1,67387,"Reichsfeld",302,3,305
"361",42,"Alsace",67,2,15,67388,"Reichshoffen",5516,87,5603
"362",42,"Alsace",67,6,43,67389,"Reichstett",4404,53,4457
"363",42,"Alsace",67,4,13,67391,"Reinhardsmunster",469,16,485
"364",42,"Alsace",67,4,17,67392,"Reipertswiller",912,6,918
"365",42,"Alsace",67,7,26,67394,"Retschwiller",273,10,283
"366",42,"Alsace",67,4,13,67395,"Reutenbourg",400,7,407
"367",42,"Alsace",67,4,6,67396,"Rexingen",204,6,210
"368",42,"Alsace",67,5,2,67397,"Rhinau",2689,39,2728
"369",42,"Alsace",67,5,12,67398,"Richtolsheim",348,3,351
"370",42,"Alsace",67,7,34,67400,"Riedseltz",1104,23,1127
"371",42,"Alsace",67,4,20,67401,"Rimsdorf",314,4,318
"372",42,"Alsace",67,6,10,67402,"Ringeldorf",104,0,104
"373",42,"Alsace",67,6,10,67403,"Ringendorf",441,7,448
"374",42,"Alsace",67,7,26,67404,"Rittershoffen",894,10,904
"375",42,"Alsace",67,2,3,67405,"Roeschwoog",2248,42,2290
"376",42,"Alsace",67,6,31,67406,"Rohr",268,7,275
"377",42,"Alsace",67,2,3,67407,"Rohrwiller",1686,14,1700
"378",42,"Alsace",67,3,33,67408,"Romanswiller",1327,16,1343
"379",42,"Alsace",67,2,3,67409,"Roppenheim",944,17,961
"380",42,"Alsace",67,3,18,67410,"Rosenwiller",680,10,690
"381",42,"Alsace",67,3,18,67411,"Rosheim",4891,101,4992
"382",42,"Alsace",67,5,2,67412,"Rossfeld",892,20,912
